,row,col,frozen_col,readable,seeded_doc
0,wikipedia_article_1,ture | method,False,37. The Stanford heuristic programming projects led by Edward Feigenbaum was one of the leaders in defining and developing the first expert systems.,False
1,wikipedia_article_1,ture | method,False,47. Another issue with using conventional methods to develop expert systems was that due to the unprecedented nature of expert systems they were one of the first applications to adopt rapid application development methods that feature iteration and prototyping as well as or instead of detailed analysis and design.,False
2,wikipedia_article_1,ture | method,False,53. One of the first and most popular of such methodologies custom designed for expert systems was the Knowledge Acquisition and Documentation Structuring (KADS) methodology developed in Europe.,False
3,wikipedia_article_1,searle | john,False,54. KADS had great success in Europe and was also used in the United States.,False
4,wikipedia_article_1,human | ai,False,35. Expert systems were first developed in artificial intelligence laboratories as an attempt to understand complex human decision making.,False
5,wikipedia_article_1,human | ai,False,"39. Researchers just sat down with domain experts and started programming, often developing the required tools (e.g.",False
6,wikipedia_article_1,system | methodology,False,"36. Based on positive results from these initial prototypes, the technology was adopted by the US business community (and later worldwide) in the 1980s.",False
7,wikipedia_article_1,system | methodology,False,41. As expert systems moved from academic prototypes to deployed business systems it was realized that a methodology was required to bring predictability and control to the process of building the software.,False
8,wikipedia_article_1,system | methodology,False,"42. There were essentially two approaches that were attempted: Use conventional software development methodologies, and develop special methodologies tuned to the requirements of building expert systems.",False
9,wikipedia_article_1,system | methodology,False,43. Many of the early expert systems were developed by large consulting and system integration firms such as Andersen Consulting.,False
10,wikipedia_article_1,system | methodology,False,44. These firms already had well tested conventional waterfall methodologies (e.g.,False
11,wikipedia_article_1,system | methodology,False,45. Method1 for Andersen) that they trained all their staff in and that were virtually always used to develop software for their clients.,False
12,wikipedia_article_1,system | methodology,False,46. One trend in early expert systems development was to simply apply these waterfall methods to expert systems development.,False
13,wikipedia_article_1,system | methodology,False,48. In the 1980s few conventional software methods supported this type of approach.,False
14,wikipedia_article_1,system | methodology,False,49. The final issue with using conventional methods to develop expert systems was the need for knowledge acquisition.,False
15,wikipedia_article_1,system | methodology,False,51. Knowledge acquisition has special requirements beyond the conventional specification process used to capture most business requirements.,False
16,wikipedia_article_1,system | methodology,False,52. These issues led to the second approach to knowledge engineering: development of custom methodologies specifically designed to build expert systems.,False
17,wikipedia_article_1,inference | engine,False,40. inference engines) at the same time as the applications themselves.,False
18,wikipedia_article_1,Unassigned,False,"33. One of the first examples of an expert system was MYCIN, an application to perform medical diagnosis.",False
19,wikipedia_article_1,Unassigned,False,"34. In the MYCIN example, the domain experts were medical doctors and the knowledge represented was their expertise in diagnosis.",False
20,wikipedia_article_1,Unassigned,False,50. Knowledge acquisition refers to the process of gathering expert knowledge and capturing it in the form of rules and ontologies.,False
21,wikipedia_article_2,ture | method,False,"26. Expert systems are designed to solve complex problems by reasoning through bodies of knowledge, represented mainly as if then rules rather than through conventional procedural code.",False
22,wikipedia_article_2,human | ai,False,"25. In artificial intelligence, an expert system is a computer system emulating the decision-making ability of a human expert.",False
23,wikipedia_article_2,human | ai,False,27. The first expert systems were created in the 1970s and then proliferated in the 1980s.,False
24,wikipedia_article_2,human | ai,False,28. Expert systems were among the first truly successful forms of artificial intelligence (AI) software.,False
25,wikipedia_article_2,inference | engine,False,32. Inference engines can also include explanation and debugging abilities.,False
26,wikipedia_article_2,Unassigned,False,29. An expert system is divided into two subsystems: the inference engine and the knowledge base.,False
27,wikipedia_article_2,Unassigned,False,30. The knowledge base represents facts and rules.,False
28,wikipedia_article_3,ture | method,False,"10. The Turing test, originally called the imitation game by Alan Turing in 1950, is a test of a machine's ability to exhibit intelligent behaviour equivalent to, or indistinguishable from, that of a human.",False
29,wikipedia_article_3,ture | method,False,"13. The conversation would be limited to a text-only channel, such as a computer keyboard and screen, so the result would not depend on the machine's ability to render words as speech.",True
30,wikipedia_article_3,ture | method,False,"16. The test was introduced by Turing in his 1950 paper ""Computing Machinery and Intelligence"" while working at the University of Manchester.",False
31,wikipedia_article_3,ture | method,False,"18. Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words.""",False
32,wikipedia_article_3,ture | method,False,"19. Turing describes the new form of the problem in terms of a three-person game called the ""imitation game"", in which an interrogator asks questions of a man and a woman in another room in order to determine the correct sex of the two players.",False
33,wikipedia_article_3,ture | method,False,"20. Turing's new question is: ""Are there imaginable digital computers which would do well in the imitation game?""",True
34,wikipedia_article_3,ture | method,False,"23. Since Turing introduced his test, it has been both highly influential and widely criticised, and has become an important concept in the philosophy of artificial intelligence.",False
35,wikipedia_article_3,searle | john,False,"24. Some of its criticisms, such as John Searle's Chinese room, are themselves controversial.",False
36,wikipedia_article_3,human | ai,False,11. Turing proposed that a human evaluator would judge natural language conversations between a human and a machine designed to generate human-like responses.,False
37,wikipedia_article_4,ture | method,False,"5. While some models, like decision trees, are inherently explainable, black box models do not have clear explanations.",False
38,wikipedia_article_4,ture | method,False,"6. Various Explainable artificial intelligence methods aim to describe model outputs with post-hoc explanations or visualizations, these methods can often provide misleading and false explanations.",False
39,wikipedia_article_4,searle | john,False,"2. Examples of collaboration include medical decision making aids., hate speech detection, and music generation.",True
40,wikipedia_article_4,human | ai,False,0. Human-AI collaboration is the study of how humans and artificial intelligence (AI) agents work together to accomplish a shared goal.,True
41,wikipedia_article_4,human | ai,False,1. AI systems can aid humans in everything from decision making tasks to art creation.,False
42,wikipedia_article_4,human | ai,False,"3. As AI systems are able to tackle more complex tasks, studies are exploring how different models and explanation techniques can improve human-AI collaboration.",False
43,wikipedia_article_4,human | ai,False,"7. Studies have also found that explanations may not improve the performance of a human-AI team, but simply increase a human's reliance on the model's output.",False
44,wikipedia_article_4,human | ai,False,"8. A human's trust in an AI agent is an important factor in human-AI collaboration, dictating whether the human should follow or override the AI's input.",False
45,wikipedia_article_4,Unassigned,False,"4. When a human uses an AI's output, they often want to understand why a model gave a certain output.",False
46,wikipedia_article_4,Unassigned,False,"9. Various factors impact a person's trust in an AI system, including its accuracy and reliability.",False
47,all,ture | method,False,"5. While some models, like decision trees, are inherently explainable, black box models do not have clear explanations.",False
48,all,ture | method,False,"6. Various Explainable artificial intelligence methods aim to describe model outputs with post-hoc explanations or visualizations, these methods can often provide misleading and false explanations.",False
49,all,ture | method,False,"10. The Turing test, originally called the imitation game by Alan Turing in 1950, is a test of a machine's ability to exhibit intelligent behaviour equivalent to, or indistinguishable from, that of a human.",False
50,all,ture | method,False,"13. The conversation would be limited to a text-only channel, such as a computer keyboard and screen, so the result would not depend on the machine's ability to render words as speech.",True
51,all,ture | method,False,"16. The test was introduced by Turing in his 1950 paper ""Computing Machinery and Intelligence"" while working at the University of Manchester.",False
52,all,ture | method,False,"18. Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words.""",False
53,all,ture | method,False,"19. Turing describes the new form of the problem in terms of a three-person game called the ""imitation game"", in which an interrogator asks questions of a man and a woman in another room in order to determine the correct sex of the two players.",False
54,all,ture | method,False,"20. Turing's new question is: ""Are there imaginable digital computers which would do well in the imitation game?""",True
55,all,ture | method,False,"23. Since Turing introduced his test, it has been both highly influential and widely criticised, and has become an important concept in the philosophy of artificial intelligence.",False
56,all,ture | method,False,"26. Expert systems are designed to solve complex problems by reasoning through bodies of knowledge, represented mainly as if then rules rather than through conventional procedural code.",False
57,all,ture | method,False,37. The Stanford heuristic programming projects led by Edward Feigenbaum was one of the leaders in defining and developing the first expert systems.,False
58,all,ture | method,False,47. Another issue with using conventional methods to develop expert systems was that due to the unprecedented nature of expert systems they were one of the first applications to adopt rapid application development methods that feature iteration and prototyping as well as or instead of detailed analysis and design.,False
59,all,ture | method,False,53. One of the first and most popular of such methodologies custom designed for expert systems was the Knowledge Acquisition and Documentation Structuring (KADS) methodology developed in Europe.,False
60,all,searle | john,False,"2. Examples of collaboration include medical decision making aids., hate speech detection, and music generation.",True
61,all,searle | john,False,"24. Some of its criticisms, such as John Searle's Chinese room, are themselves controversial.",False
62,all,searle | john,False,54. KADS had great success in Europe and was also used in the United States.,False
63,all,human | ai,False,0. Human-AI collaboration is the study of how humans and artificial intelligence (AI) agents work together to accomplish a shared goal.,True
64,all,human | ai,False,1. AI systems can aid humans in everything from decision making tasks to art creation.,False
65,all,human | ai,False,"3. As AI systems are able to tackle more complex tasks, studies are exploring how different models and explanation techniques can improve human-AI collaboration.",False
66,all,human | ai,False,"7. Studies have also found that explanations may not improve the performance of a human-AI team, but simply increase a human's reliance on the model's output.",False
67,all,human | ai,False,"8. A human's trust in an AI agent is an important factor in human-AI collaboration, dictating whether the human should follow or override the AI's input.",False
68,all,human | ai,False,11. Turing proposed that a human evaluator would judge natural language conversations between a human and a machine designed to generate human-like responses.,False
69,all,human | ai,False,"25. In artificial intelligence, an expert system is a computer system emulating the decision-making ability of a human expert.",False
70,all,human | ai,False,27. The first expert systems were created in the 1970s and then proliferated in the 1980s.,False
71,all,human | ai,False,28. Expert systems were among the first truly successful forms of artificial intelligence (AI) software.,False
72,all,human | ai,False,35. Expert systems were first developed in artificial intelligence laboratories as an attempt to understand complex human decision making.,False
73,all,human | ai,False,"39. Researchers just sat down with domain experts and started programming, often developing the required tools (e.g.",False
74,all,system | methodology,False,"36. Based on positive results from these initial prototypes, the technology was adopted by the US business community (and later worldwide) in the 1980s.",False
75,all,system | methodology,False,41. As expert systems moved from academic prototypes to deployed business systems it was realized that a methodology was required to bring predictability and control to the process of building the software.,False
76,all,system | methodology,False,"42. There were essentially two approaches that were attempted: Use conventional software development methodologies, and develop special methodologies tuned to the requirements of building expert systems.",False
77,all,system | methodology,False,43. Many of the early expert systems were developed by large consulting and system integration firms such as Andersen Consulting.,False
78,all,system | methodology,False,44. These firms already had well tested conventional waterfall methodologies (e.g.,False
79,all,system | methodology,False,45. Method1 for Andersen) that they trained all their staff in and that were virtually always used to develop software for their clients.,False
80,all,system | methodology,False,46. One trend in early expert systems development was to simply apply these waterfall methods to expert systems development.,False
81,all,system | methodology,False,48. In the 1980s few conventional software methods supported this type of approach.,False
82,all,system | methodology,False,49. The final issue with using conventional methods to develop expert systems was the need for knowledge acquisition.,False
83,all,system | methodology,False,51. Knowledge acquisition has special requirements beyond the conventional specification process used to capture most business requirements.,False
84,all,system | methodology,False,52. These issues led to the second approach to knowledge engineering: development of custom methodologies specifically designed to build expert systems.,False
85,all,inference | engine,False,32. Inference engines can also include explanation and debugging abilities.,False
86,all,inference | engine,False,40. inference engines) at the same time as the applications themselves.,False
87,all,Unassigned,False,"4. When a human uses an AI's output, they often want to understand why a model gave a certain output.",False
88,all,Unassigned,False,"9. Various factors impact a person's trust in an AI system, including its accuracy and reliability.",False
89,all,Unassigned,False,29. An expert system is divided into two subsystems: the inference engine and the knowledge base.,False
90,all,Unassigned,False,30. The knowledge base represents facts and rules.,False
91,all,Unassigned,False,"33. One of the first examples of an expert system was MYCIN, an application to perform medical diagnosis.",False
92,all,Unassigned,False,"34. In the MYCIN example, the domain experts were medical doctors and the knowledge represented was their expertise in diagnosis.",False
93,all,Unassigned,False,50. Knowledge acquisition refers to the process of gathering expert knowledge and capturing it in the form of rules and ontologies.,False
